 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2014
"Município";"Óbitos_p/Residênc"
"352970 Miguelópolis";1
"352980 Mineiros do Tietê";2
"352990 Miracatu";2
"353010 Mirandópolis";3
"353020 Mirante do Paranapanema";1
"353030 Mirassol";3
"353050 Mococa";4
"353060 Mogi das Cruzes";23
"353070 Mogi Guaçu";6
"353080 Mogi Mirim";6
"353110 Mongaguá";4
"353130 Monte Alto";3
"353140 Monte Aprazível";2
"353150 Monte Azul Paulista";3
"353180 Monte Mor";4
"353190 Morro Agudo";1
"353240 Nazaré Paulista";1
"353250 Neves Paulista";2
"353290 Nova Europa";1
"353340 Nova Odessa";2
"353380 Óleo";1
"353390 Olímpia";4
"353430 Orlândia";2
"353440 Osasco";31
"353460 Osvaldo Cruz";1
"353470 Ourinhos";7
"353490 Pacaembu";1
"353550 Paraguaçu Paulista";1
"353580 Paranapanema";1
"353600 Parapuã";1
"353620 Pariquera-Açu";2
"353650 Paulínia";4
"353670 Pederneiras";4
"353700 Pedregulho";2
"353710 Pedreira";5
"353730 Penápolis";2
"353740 Pereira Barreto";1
"353760 Peruíbe";7
"353780 Piedade";4
"353790 Pilar do Sul";1
"353800 Pindamonhangaba";8
"353820 Pinhalzinho";3
"353850 Piquete";3
"353870 Piracicaba";25
"353890 Pirajuí";1
"353910 Pirapora do Bom Jesus";1
"353930 Pirassununga";3
"353950 Pitangueiras";3
"353980 Poá";6
"354000 Pompéia";3
"354010 Pongaí";1
"354020 Pontal";1
"354060 Porto Feliz";1
"354070 Porto Ferreira";4
"354075 Potim";3
"354090 Pradópolis";1
"354100 Praia Grande";21
"354120 Presidente Bernardes";1
"354130 Presidente Epitácio";8
"354140 Presidente Prudente";23
"354160 Promissão";1
"354165 Quadra";1
"354220 Rancharia";1
"354240 Regente Feijó";1
"354250 Reginópolis";2
"354260 Registro";1
"354310 Ribeirão Corrente";2
"354330 Ribeirão Pires";4
"354340 Ribeirão Preto";54
"354390 Rio Claro";12
"354400 Rio das Pedras";1
"354410 Rio Grande da Serra";2
"354420 Riolândia";1
"354425 Rosana";2
"354515 Saltinho";1
"354520 Salto";8
"354530 Salto de Pirapora";1
"354540 Salto Grande";3
"354580 Santa Bárbara d'Oeste";9
"354660 Santa Fé do Sul";1
"354680 Santa Isabel";1
"354750 Santa Rita do Passa Quatro";1
"354760 Santa Rosa de Viterbo";1
"354730 Santana de Parnaíba";3
"354780 Santo André";28
"354805 Santo Antônio do Aracanguá";1
"354850 Santos";49
"354870 São Bernardo do Campo";34
"354880 São Caetano do Sul";2
"354890 São Carlos";13
"354910 São João da Boa Vista";3
"354940 São Joaquim da Barra";1
"354980 São José do Rio Preto";54
"354990 São José dos Campos";41
"354995 São Lourenço da Serra";1
"355000 São Luís do Paraitinga";1
"355010 São Manuel";1
"355020 São Miguel Arcanjo";1
"355030 São Paulo";762
"355040 São Pedro";2
"355060 São Roque";3
"355070 São Sebastião";4
"355100 São Vicente";38
"355140 Serra Azul";2
"355160 Serra Negra";2
"355150 Serrana";2
"355170 Sertãozinho";8
"355180 Sete Barras";1
"355210 Socorro";2
"355220 Sorocaba";46
"355240 Sumaré";17
"355250 Suzano";13
"355270 Tabatinga";1
"355280 Taboão da Serra";18
"355310 Taiaçu";1
"355330 Tambaú";2
"355340 Tanabi";1
"355360 Tapiratiba";1
"355370 Taquaritinga";3
"355400 Tatuí";14
"355410 Taubaté";33
"355430 Teodoro Sampaio";1
"355450 Tietê";1
"355480 Tremembé";1
"355500 Tupã";8
"355510 Tupi Paulista";2
"355540 Ubatuba";5
"355620 Valinhos";3
"355630 Valparaíso";1
"355640 Vargem Grande do Sul";1
"355650 Várzea Paulista";5
"355670 Vinhedo";7
"355700 Votorantim";2
"355710 Votuporanga";12
"350000 Município ignorado - SP";7
"Total";2677
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
