 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2015
"Município";"Óbitos_p/Residênc"
"353710 Pedreira";2
"353720 Pedro de Toledo";1
"353740 Pereira Barreto";5
"353760 Peruíbe";4
"353770 Piacatu";1
"353780 Piedade";3
"353800 Pindamonhangaba";6
"353810 Pindorama";1
"353820 Pinhalzinho";1
"353850 Piquete";1
"353860 Piracaia";1
"353870 Piracicaba";34
"353890 Pirajuí";1
"353910 Pirapora do Bom Jesus";1
"353920 Pirapozinho";1
"353930 Pirassununga";3
"353950 Pitangueiras";1
"353980 Poá";7
"354000 Pompéia";2
"354020 Pontal";1
"354070 Porto Ferreira";3
"354075 Potim";1
"354100 Praia Grande";29
"354110 Presidente Alves";1
"354120 Presidente Bernardes";1
"354130 Presidente Epitácio";3
"354140 Presidente Prudente";15
"354150 Presidente Venceslau";6
"354190 Queluz";1
"354210 Rafard";1
"354220 Rancharia";1
"354240 Regente Feijó";1
"354260 Registro";2
"354330 Ribeirão Pires";6
"354340 Ribeirão Preto";46
"354370 Rincão";1
"354390 Rio Claro";12
"354400 Rio das Pedras";1
"354410 Rio Grande da Serra";5
"354425 Rosana";2
"354430 Roseira";2
"354480 Sales";1
"354520 Salto";4
"354530 Salto de Pirapora";1
"354580 Santa Bárbara d'Oeste";11
"354600 Santa Branca";3
"354640 Santa Cruz do Rio Pardo";1
"354660 Santa Fé do Sul";2
"354670 Santa Gertrudes";3
"354680 Santa Isabel";3
"354730 Santana de Parnaíba";4
"354780 Santo André";34
"354790 Santo Antônio da Alegria";1
"354800 Santo Antônio de Posse";1
"354805 Santo Antônio do Aracanguá";1
"354820 Santo Antônio do Pinhal";1
"354850 Santos";42
"354870 São Bernardo do Campo";36
"354880 São Caetano do Sul";4
"354890 São Carlos";16
"354910 São João da Boa Vista";4
"354970 São José do Rio Pardo";2
"354980 São José do Rio Preto";51
"354990 São José dos Campos";47
"355030 São Paulo";711
"355040 São Pedro";4
"355050 São Pedro do Turvo";2
"355060 São Roque";3
"355070 São Sebastião";4
"355090 São Simão";2
"355100 São Vicente";31
"355140 Serra Azul";2
"355150 Serrana";2
"355170 Sertãozinho";8
"355180 Sete Barras";1
"355220 Sorocaba";54
"355240 Sumaré";13
"355250 Suzano";15
"355260 Tabapuã";1
"355280 Taboão da Serra";12
"355330 Tambaú";3
"355365 Taquaral";1
"355370 Taquaritinga";5
"355380 Taquarituba";3
"355400 Tatuí";13
"355410 Taubaté";21
"355430 Teodoro Sampaio";3
"355440 Terra Roxa";1
"355450 Tietê";1
"355475 Trabiju";1
"355480 Tremembé";2
"355500 Tupã";5
"355540 Ubatuba";11
"355560 Uchoa";2
"355610 Valentim Gentil";1
"355620 Valinhos";4
"355630 Valparaíso";1
"355635 Vargem";1
"355650 Várzea Paulista";6
"355670 Vinhedo";1
"355680 Viradouro";1
"355690 Vista Alegre do Alto";1
"355700 Votorantim";3
"355710 Votuporanga";5
"350000 Município ignorado - SP";4
"Total";2567
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
