 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2010
"Município";"Óbitos_p/Residênc"
"353020 Mirante do Paranapanema";1
"353030 Mirassol";3
"353050 Mococa";3
"353060 Mogi das Cruzes";17
"353070 Mogi Guaçu";10
"353080 Mogi Mirim";8
"353110 Mongaguá";3
"353130 Monte Alto";2
"353140 Monte Aprazível";2
"353150 Monte Azul Paulista";3
"353180 Monte Mor";3
"353190 Morro Agudo";1
"353250 Neves Paulista";1
"353330 Nova Luzitânia";2
"353340 Nova Odessa";2
"353350 Novo Horizonte";2
"353430 Orlândia";3
"353440 Osasco";49
"353460 Osvaldo Cruz";3
"353470 Ourinhos";9
"353510 Palmares Paulista";2
"353540 Panorama";2
"353550 Paraguaçu Paulista";2
"353560 Paraibuna";1
"353600 Parapuã";1
"353620 Pariquera-Açu";1
"353625 Parisi";1
"353650 Paulínia";5
"353670 Pederneiras";1
"353700 Pedregulho";1
"353710 Pedreira";1
"353720 Pedro de Toledo";1
"353730 Penápolis";3
"353740 Pereira Barreto";2
"353750 Pereiras";1
"353760 Peruíbe";5
"353770 Piacatu";1
"353780 Piedade";3
"353800 Pindamonhangaba";9
"353810 Pindorama";1
"353820 Pinhalzinho";1
"353870 Piracicaba";37
"353880 Piraju";1
"353890 Pirajuí";2
"353910 Pirapora do Bom Jesus";1
"353920 Pirapozinho";1
"353930 Pirassununga";5
"353940 Piratininga";1
"353950 Pitangueiras";3
"353980 Poá";8
"354000 Pompéia";2
"354020 Pontal";1
"354050 Porangaba";1
"354060 Porto Feliz";1
"354070 Porto Ferreira";4
"354075 Potim";6
"354080 Potirendaba";2
"354085 Pracinha";1
"354100 Praia Grande";33
"354120 Presidente Bernardes";1
"354130 Presidente Epitácio";6
"354140 Presidente Prudente";15
"354150 Presidente Venceslau";3
"354160 Promissão";1
"354220 Rancharia";2
"354260 Registro";2
"354290 Ribeirão Bonito";1
"354330 Ribeirão Pires";6
"354340 Ribeirão Preto";69
"354360 Rifaina";1
"354380 Rinópolis";1
"354390 Rio Claro";15
"354400 Rio das Pedras";1
"354410 Rio Grande da Serra";4
"354470 Sagres";1
"354490 Sales Oliveira";1
"354500 Salesópolis";1
"354520 Salto";8
"354530 Salto de Pirapora";3
"354540 Salto Grande";1
"354550 Sandovalina";1
"354560 Santa Adélia";1
"354580 Santa Bárbara d'Oeste";5
"354630 Santa Cruz das Palmeiras";1
"354640 Santa Cruz do Rio Pardo";1
"354660 Santa Fé do Sul";2
"354680 Santa Isabel";1
"354750 Santa Rita do Passa Quatro";1
"354730 Santana de Parnaíba";5
"354780 Santo André";46
"354800 Santo Antônio de Posse";2
"354850 Santos";76
"354870 São Bernardo do Campo";27
"354880 São Caetano do Sul";12
"354890 São Carlos";21
"354910 São João da Boa Vista";8
"354940 São Joaquim da Barra";2
"354970 São José do Rio Pardo";1
"354980 São José do Rio Preto";44
"354990 São José dos Campos";61
"355000 São Luís do Paraitinga";1
"355010 São Manuel";1
"355030 São Paulo";930
"355040 São Pedro";6
"355060 São Roque";8
"355070 São Sebastião";6
"355100 São Vicente";42
"355140 Serra Azul";2
"355150 Serrana";4
"355170 Sertãozinho";7
"355180 Sete Barras";1
"355190 Severínia";2
"355210 Socorro";2
"355220 Sorocaba";45
"355240 Sumaré";15
"355250 Suzano";17
"355260 Tabapuã";1
"355280 Taboão da Serra";17
"355310 Taiaçu";1
"355340 Tanabi";1
"355370 Taquaritinga";4
"355400 Tatuí";6
"355410 Taubaté";42
"355430 Teodoro Sampaio";4
"355450 Tietê";1
"355480 Tremembé";4
"355500 Tupã";3
"355535 Ubarana";1
"355540 Ubatuba";2
"355570 União Paulista";1
"355600 Urupês";2
"355620 Valinhos";4
"355630 Valparaíso";1
"355640 Vargem Grande do Sul";2
"355645 Vargem Grande Paulista";1
"355650 Várzea Paulista";3
"355670 Vinhedo";3
"355690 Vista Alegre do Alto";1
"355700 Votorantim";7
"355710 Votuporanga";9
"350000 Município ignorado - SP";6
"Total";3023
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
