 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2006
"Município";"Óbitos_p/Residênc"
"353140 Monte Aprazível";2
"353150 Monte Azul Paulista";4
"353180 Monte Mor";2
"353205 Motuca";1
"353220 Narandiba";1
"353290 Nova Europa";1
"353340 Nova Odessa";2
"353350 Novo Horizonte";2
"353390 Olímpia";6
"353430 Orlândia";2
"353440 Osasco";52
"353460 Osvaldo Cruz";2
"353470 Ourinhos";9
"353480 Ouro Verde";1
"353490 Pacaembu";2
"353510 Palmares Paulista";1
"353520 Palmeira d'Oeste";1
"353550 Paraguaçu Paulista";4
"353620 Pariquera-Açu";3
"353650 Paulínia";3
"353660 Paulo de Faria";2
"353670 Pederneiras";3
"353710 Pedreira";1
"353720 Pedro de Toledo";1
"353730 Penápolis";3
"353740 Pereira Barreto";4
"353760 Peruíbe";8
"353780 Piedade";4
"353790 Pilar do Sul";1
"353800 Pindamonhangaba";6
"353810 Pindorama";2
"353820 Pinhalzinho";1
"353850 Piquete";2
"353870 Piracicaba";45
"353880 Piraju";1
"353890 Pirajuí";6
"353920 Pirapozinho";1
"353930 Pirassununga";3
"353940 Piratininga";1
"353950 Pitangueiras";5
"353980 Poá";4
"353990 Poloni";1
"354040 Populina";1
"354060 Porto Feliz";2
"354070 Porto Ferreira";5
"354075 Potim";3
"354080 Potirendaba";2
"354085 Pracinha";1
"354100 Praia Grande";23
"354130 Presidente Epitácio";1
"354140 Presidente Prudente";14
"354150 Presidente Venceslau";2
"354170 Quatá";1
"354190 Queluz";2
"354220 Rancharia";1
"354240 Regente Feijó";2
"354260 Registro";2
"354270 Restinga";1
"354330 Ribeirão Pires";6
"354340 Ribeirão Preto";86
"354370 Rincão";1
"354380 Rinópolis";1
"354390 Rio Claro";16
"354410 Rio Grande da Serra";2
"354420 Riolândia";6
"354425 Rosana";1
"354430 Roseira";1
"354515 Saltinho";1
"354520 Salto";6
"354530 Salto de Pirapora";1
"354560 Santa Adélia";1
"354580 Santa Bárbara d'Oeste";4
"354600 Santa Branca";1
"354640 Santa Cruz do Rio Pardo";2
"354660 Santa Fé do Sul";3
"354670 Santa Gertrudes";1
"354680 Santa Isabel";6
"354690 Santa Lúcia";1
"354730 Santana de Parnaíba";2
"354780 Santo André";63
"354850 Santos";69
"354860 São Bento do Sapucaí";2
"354870 São Bernardo do Campo";40
"354880 São Caetano do Sul";14
"354890 São Carlos";31
"354910 São João da Boa Vista";6
"354940 São Joaquim da Barra";1
"354970 São José do Rio Pardo";1
"354980 São José do Rio Preto";53
"354990 São José dos Campos";40
"355010 São Manuel";1
"355020 São Miguel Arcanjo";2
"355030 São Paulo";1038
"355040 São Pedro";4
"355060 São Roque";2
"355070 São Sebastião";7
"355100 São Vicente";41
"355160 Serra Negra";1
"355150 Serrana";4
"355170 Sertãozinho";12
"355180 Sete Barras";1
"355220 Sorocaba";45
"355240 Sumaré";19
"355250 Suzano";11
"355260 Tabapuã";1
"355280 Taboão da Serra";16
"355340 Tanabi";3
"355370 Taquaritinga";6
"355380 Taquarituba";1
"355400 Tatuí";6
"355410 Taubaté";34
"355430 Teodoro Sampaio";2
"355470 Torrinha";1
"355480 Tremembé";5
"355490 Três Fronteiras";1
"355500 Tupã";11
"355510 Tupi Paulista";2
"355540 Ubatuba";7
"355560 Uchoa";1
"355580 Urânia";1
"355600 Urupês";1
"355620 Valinhos";4
"355630 Valparaíso";1
"355640 Vargem Grande do Sul";2
"355645 Vargem Grande Paulista";1
"355650 Várzea Paulista";8
"355660 Vera Cruz";1
"355670 Vinhedo";3
"355680 Viradouro";3
"355700 Votorantim";5
"355710 Votuporanga";10
"350000 Município ignorado - SP";6
"Total";3209
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
