 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2016
"Município";"Óbitos_p/Residênc"
"353890 Pirajuí";4
"353910 Pirapora do Bom Jesus";1
"353920 Pirapozinho";3
"353930 Pirassununga";2
"353960 Planalto";1
"353980 Poá";10
"354000 Pompéia";1
"354020 Pontal";1
"354040 Populina";1
"354060 Porto Feliz";3
"354070 Porto Ferreira";1
"354075 Potim";2
"354100 Praia Grande";30
"354105 Pratânia";1
"354130 Presidente Epitácio";3
"354140 Presidente Prudente";17
"354150 Presidente Venceslau";2
"354160 Promissão";3
"354170 Quatá";1
"354190 Queluz";1
"354200 Quintana";1
"354210 Rafard";1
"354220 Rancharia";2
"354240 Regente Feijó";1
"354260 Registro";2
"354290 Ribeirão Bonito";3
"354310 Ribeirão Corrente";1
"354320 Ribeirão do Sul";1
"354330 Ribeirão Pires";4
"354340 Ribeirão Preto";41
"354390 Rio Claro";18
"354400 Rio das Pedras";2
"354410 Rio Grande da Serra";4
"354425 Rosana";1
"354430 Roseira";1
"354440 Rubiácea";1
"354500 Salesópolis";1
"354520 Salto";8
"354530 Salto de Pirapora";5
"354550 Sandovalina";1
"354560 Santa Adélia";1
"354580 Santa Bárbara d'Oeste";11
"354630 Santa Cruz das Palmeiras";1
"354640 Santa Cruz do Rio Pardo";6
"354650 Santa Ernestina";1
"354660 Santa Fé do Sul";1
"354680 Santa Isabel";5
"354690 Santa Lúcia";1
"354760 Santa Rosa de Viterbo";1
"354730 Santana de Parnaíba";4
"354770 Santo Anastácio";1
"354780 Santo André";39
"354810 Santo Antônio do Jardim";1
"354850 Santos";46
"354860 São Bento do Sapucaí";1
"354870 São Bernardo do Campo";26
"354880 São Caetano do Sul";13
"354890 São Carlos";9
"354910 São João da Boa Vista";2
"354925 São João de Iracema";1
"354930 São João do Pau d'Alho";1
"354940 São Joaquim da Barra";1
"354980 São José do Rio Preto";33
"354990 São José dos Campos";30
"354995 São Lourenço da Serra";1
"355030 São Paulo";692
"355040 São Pedro";4
"355060 São Roque";4
"355070 São Sebastião";6
"355100 São Vicente";40
"355140 Serra Azul";1
"355160 Serra Negra";1
"355150 Serrana";1
"355170 Sertãozinho";7
"355210 Socorro";1
"355220 Sorocaba";38
"355240 Sumaré";18
"355250 Suzano";14
"355270 Tabatinga";2
"355280 Taboão da Serra";14
"355320 Taiúva";1
"355330 Tambaú";1
"355340 Tanabi";2
"355370 Taquaritinga";6
"355380 Taquarituba";1
"355395 Tarumã";1
"355400 Tatuí";14
"355410 Taubaté";27
"355450 Tietê";2
"355480 Tremembé";3
"355500 Tupã";11
"355510 Tupi Paulista";2
"355520 Turiúba";1
"355530 Turmalina";1
"355540 Ubatuba";9
"355550 Ubirajara";1
"355620 Valinhos";3
"355630 Valparaíso";3
"355640 Vargem Grande do Sul";2
"355645 Vargem Grande Paulista";2
"355650 Várzea Paulista";4
"355670 Vinhedo";2
"355700 Votorantim";5
"355710 Votuporanga";8
"350000 Município ignorado - SP";7
"Total";2530
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
