 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2009
"Município";"Óbitos_p/Residênc"
"354730 Santana de Parnaíba";5
"354780 Santo André";53
"354790 Santo Antônio da Alegria";2
"354800 Santo Antônio de Posse";1
"354850 Santos";73
"354870 São Bernardo do Campo";36
"354880 São Caetano do Sul";13
"354890 São Carlos";20
"354910 São João da Boa Vista";4
"354940 São Joaquim da Barra";4
"354970 São José do Rio Pardo";2
"354980 São José do Rio Preto";50
"354990 São José dos Campos";42
"354995 São Lourenço da Serra";1
"355010 São Manuel";1
"355020 São Miguel Arcanjo";1
"355030 São Paulo";1020
"355040 São Pedro";6
"355060 São Roque";4
"355070 São Sebastião";8
"355090 São Simão";1
"355100 São Vicente";42
"355140 Serra Azul";1
"355150 Serrana";6
"355170 Sertãozinho";6
"355180 Sete Barras";1
"355210 Socorro";1
"355220 Sorocaba";64
"355240 Sumaré";7
"355250 Suzano";15
"355270 Tabatinga";1
"355280 Taboão da Serra";17
"355365 Taquaral";1
"355370 Taquaritinga";9
"355380 Taquarituba";1
"355395 Tarumã";1
"355400 Tatuí";6
"355410 Taubaté";35
"355450 Tietê";1
"355480 Tremembé";4
"355500 Tupã";5
"355510 Tupi Paulista";1
"355535 Ubarana";1
"355540 Ubatuba";1
"355600 Urupês";2
"355620 Valinhos";2
"355640 Vargem Grande do Sul";3
"355645 Vargem Grande Paulista";1
"355650 Várzea Paulista";3
"355670 Vinhedo";1
"355680 Viradouro";1
"355700 Votorantim";7
"355710 Votuporanga";5
"350000 Município ignorado - SP";4
"Total";3112
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
